file,language,dominant_script,dominant_pct,top_scripts
ang_wikipedia_2021_20260405082219.csv,ang,Latin,99.72,Latin 99.7%; Greek 0.1%; Han 0.1%; Runic 0.0%
anw_community_2017_20260404141735.csv,anw,Latin,99.03,Latin 99.0%; Greek 0.7%; Cyrillic 0.1%; Han 0.1%
aoj_glot500_latn.csv,aoj,Latin,100.0,Latin 100.0%
apc_glot500_arab.csv,apc,Arabic,95.78,Arabic 95.8%; Latin 4.2%
ara-ae_newscrawl-OSIAN_2018_20260404142021.csv,ara,Arabic,98.97,Arabic 99.0%; Latin 1.0%
ara-ae_web_2019_20260404142030.csv,ara,Arabic,95.62,Arabic 95.6%; Latin 4.4%; Cyrillic 0.0%; Unknown 0.0%
ara-au_newscrawl-OSIAN_2018_20260404142049.csv,ara,Arabic,98.97,Arabic 99.0%; Latin 1.0%
ara-ca_newscrawl-OSIAN_2018_20260404142056.csv,ara,Arabic,99.24,Arabic 99.2%; Latin 0.8%
ara-cn_newscrawl-OSIAN_2018_20260404142102.csv,ara,Arabic,99.86,Arabic 99.9%; Latin 0.1%
ara-com_newscrawl-OSIAN_2018_20260404142109.csv,ara,Arabic,98.35,Arabic 98.3%; Latin 1.6%
ara-de_newscrawl-OSIAN_2018_20260404142120.csv,ara,Arabic,98.59,Arabic 98.6%; Latin 1.4%; Cyrillic 0.0%; Greek 0.0%
ara-dz_newscrawl-OSIAN_2018_20260404142137.csv,ara,Arabic,99.08,Arabic 99.1%; Latin 0.9%
ara-eg_newscrawl-OSIAN_2018_20260404142201.csv,ara,Arabic,99.17,Arabic 99.2%; Latin 0.8%; Cyrillic 0.0%; Greek 0.0%
ara-fr_newscrawl-OSIAN_2018_20260404142211.csv,ara,Arabic,99.8,Arabic 99.8%; Latin 0.2%
ara-international_newscrawl-OSIAN_2018_20260404142223.csv,ara,Arabic,98.11,Arabic 98.1%; Latin 1.9%; Cyrillic 0.0%
ara-iq_newscrawl-OSIAN_2018_20260404142239.csv,ara,Arabic,99.46,Arabic 99.5%; Latin 0.5%
ara-ir_newscrawl-OSIAN_2018_20260404142248.csv,ara,Arabic,98.61,Arabic 98.6%; Latin 1.4%; Unknown 0.0%; Cyrillic 0.0%
ara-jo_newscrawl-OSIAN_2018_20260404142302.csv,ara,Arabic,98.78,Arabic 98.8%; Latin 1.2%
ara-ma_newscrawl-OSIAN_2018_20260404142311.csv,ara,Arabic,99.36,Arabic 99.4%; Latin 0.6%
ara-middleeast_newscrawl-OSIAN_2018_20260404142326.csv,ara,Arabic,98.87,Arabic 98.9%; Latin 1.1%; Unknown 0.0%
ara-ps_newscrawl-OSIAN_2018_20260404142339.csv,ara,Arabic,99.61,Arabic 99.6%; Latin 0.4%
ara-qa_newscrawl-OSIAN_2018_20260404142346.csv,ara,Arabic,99.77,Arabic 99.8%; Latin 0.2%
ara-ru_newscrawl-OSIAN_2018_20260404142353.csv,ara,Arabic,96.55,Arabic 96.5%; Latin 3.3%; Cyrillic 0.2%
ara-sa_newscrawl-OSIAN_2018_20260404142400.csv,ara,Arabic,99.77,Arabic 99.8%; Latin 0.2%
ara-se_newscrawl-OSIAN_2018_20260404142407.csv,ara,Arabic,94.81,Arabic 94.8%; Latin 5.2%
ara-sy_newscrawl-OSIAN_2018_20260404142415.csv,ara,Arabic,99.21,Arabic 99.2%; Latin 0.8%
