filename,lang,reason
lij_wikipedia_2012_20260405072608.csv,lij,39.0% hapax overlap with lij_wikipedia_2021_20260405072614.csv
lim_community_2017_20260405072620.csv,lim,60.4% hapax overlap with lim_wikipedia_2021_20260405072636.csv
lim_wikipedia_2012_20260405072627.csv,lim,84.6% hapax overlap with lim_community_2017_20260405072620.csv
lin_wikipedia_2012_20260405072648.csv,lin,49.0% hapax overlap with lin_wikipedia_2021_20260405072654.csv
lmo_wikipedia_2014_20260405072750.csv,lmo,52.0% hapax overlap with lmo_wikipedia_2021_20260405072757.csv
ltg_wikipedia_2012_20260405072437.csv,ltg,68.3% hapax overlap with ltg_wikipedia_2021_20260405072443.csv
lug_community_2017_20260404171930.csv,lug,37.6% hapax overlap with lug_glot500_latn.csv
lug_newscrawl_2016_20260404171950.csv,lug,49.6% hapax overlap with lug_glot500_latn.csv
lup_community_2017_20260405072838.csv,lup,85.9% hapax overlap with lup_web_2017_20260405072844.csv
mah_wikipedia_2021_20260405073735.csv,mah,54.1% hapax overlap with mah_glot500_latn.csv
mai_wikipedia_2021_20260405073110.csv,mai,37.7% hapax overlap with mai_glot500_deva.csv
mal_community_2017_20260405073215.csv,mal,37.7% hapax overlap with mal_wikipedia_2021_20260405073255.csv
mal_newscrawl_2011_20260405073233.csv,mal,82.7% hapax overlap with mal_community_2017_20260405073215.csv
mdf_wikipedia_2012_20260405074151.csv,mdf,71.8% hapax overlap with mdf_wikipedia_2021_20260405074156.csv
mhr_wikipedia_2012_20260404163542.csv,mhr,46.2% hapax overlap with mhr_wikipedia_2021_20260404163548.csv
min_community_2017_20260405073823.csv,min,82.2% hapax overlap with min_wikipedia_2021_20260405073836.csv
min_wikipedia_2014_20260405073829.csv,min,97.6% hapax overlap with min_community_2017_20260405073823.csv
mkd_wikipedia_2010_20260405073007.csv,mkd,56.2% hapax overlap with mkd_community_2017_20260405072931.csv
mkd_wikipedia_2021_20260405073017.csv,mkd,44.6% hapax overlap with mkd_community_2017_20260405072931.csv
mrj_wikipedia_2011_20260405092632.csv,mrj,72.1% hapax overlap with mrj_wikipedia_2021_20260405092638.csv
msa_community_2017_20260405073130.csv,msa,33.7% hapax overlap with msa_wikipedia_2021_20260405073151.csv
msa_newscrawl_2011_20260405073144.csv,msa,55.5% hapax overlap with msa_community_2017_20260405073130.csv
mwl_wikipedia_2012_20260405073902.csv,mwl,58.8% hapax overlap with mwl_wikipedia_2021_20260405073908.csv
myv_wikipedia_2012_20260404165437.csv,myv,49.1% hapax overlap with myv_wikipedia_2021_20260404165443.csv
mzn_community_2017_20260405073740.csv,mzn,45.8% hapax overlap with mzn_wikipedia_2021_20260405073753.csv
mzn_wikipedia_2012_20260405073746.csv,mzn,52.0% hapax overlap with mzn_community_2017_20260405073740.csv
nah_wikipedia_2011_20260405074241.csv,nah,50.1% hapax overlap with nah_wikipedia_2021_20260405074247.csv
nan_wikipedia_2011_20260405073811.csv,nan,38.4% hapax overlap with nan_wikipedia_2021_20260405073817.csv
nap-tara_wikipedia_2021_20260405074333.csv,nap,41.9% hapax overlap with nap_glot500_latn.csv
nap_wikipedia_2021_20260405074327.csv,nap,35.0% hapax overlap with nap_glot500_latn.csv
nav_wikipedia_2021_20260405074303.csv,nav,57.5% hapax overlap with nav_wikipedia_2012_20260405074258.csv
ndo_community_2017_20260405074309.csv,ndo,63.9% hapax overlap with ndo_glot500_latn.csv
nds-nl_wikipedia_2021_20260405072820.csv,nds,36.8% hapax overlap with nds_glot500_latn.csv
nds_wikipedia_2012_20260405072803.csv,nds,62.6% hapax overlap with nds_wikipedia_2021_20260405072811.csv
nep_news_2010_20260405074400.csv,nep,47.3% hapax overlap with nep_community_2017_20260405074342.csv
nep_news_2010_300K_20260405074418.csv,nep,67.8% hapax overlap with nep_news_2010_20260405074400.csv
new_wikipedia_2009_20260405074454.csv,new,50.2% hapax overlap with new_wikipedia_2021_20260405081716.csv
nld-nl_web_2019_20260404163359.csv,nld,34.6% hapax overlap with nld-nl_web-public_2019_20260404163458.csv
nov_wikipedia_2012_20260405082116.csv,nov,37.8% hapax overlap with nov_wikipedia_2021_20260405082122.csv
nso-za_web_2013_20260405090327.csv,nso,78.5% hapax overlap with nso_mixed_2013_20260405090316.csv
oci_community_2017_20260405082139.csv,oci,47.3% hapax overlap with oci_wikipedia_2021_20260405082155.csv
ori_community_2017_20260405082232.csv,ori,48.4% hapax overlap with ori_wikipedia_2021_20260405082245.csv
ori_wikipedia_2012_20260405082239.csv,ori,44.4% hapax overlap with ori_community_2017_20260405082232.csv
orm_wikipedia_2012_20260405082253.csv,orm,47.5% hapax overlap with orm_wikipedia_2021_20260405082258.csv
oss_wikipedia_2011_20260405082304.csv,oss,51.0% hapax overlap with oss_wikipedia_2021_20260405082311.csv
pag_wikipedia_2012_20260405082341.csv,pag,59.6% hapax overlap with pag_community_2017_20260405082336.csv
pag_wikipedia_2021_20260405082347.csv,pag,69.4% hapax overlap with pag_community_2017_20260405082336.csv
pam_wikipedia_2011_20260405082323.csv,pam,73.0% hapax overlap with pam_community_2017_20260405082317.csv
pam_wikipedia_2021_20260405082329.csv,pam,67.8% hapax overlap with pam_community_2017_20260405082317.csv
pap_news_2020_20260405082353.csv,pap,42.5% hapax overlap with pap_glot500_latn.csv
pcd_wikipedia_2012_20260405082848.csv,pcd,48.4% hapax overlap with pcd_wikipedia_2021_20260405082854.csv
pdc_wikipedia_2021_20260405082442.csv,pdc,42.5% hapax overlap with pdc_wikipedia_2007_20260405082436.csv
pfl_wikipedia_2012_20260405082836.csv,pfl,59.5% hapax overlap with pfl_wikipedia_2021_20260405082842.csv
pms_wikipedia_2011_20260405082900.csv,pms,45.4% hapax overlap with pms_wikipedia_2021_20260405082906.csv
pnb_wikipedia_2011_20260405092650.csv,pnb,55.2% hapax overlap with pnb_community_2017_20260405092644.csv
pnb_wikipedia_2021_20260405092657.csv,pnb,34.6% hapax overlap with pnb_glot500_arab.csv
pus_news_2020_20260405082411.csv,pus,45.1% hapax overlap with pus_glot500_arab.csv
pus_newscrawl_2011_20260405082419.csv,pus,37.6% hapax overlap with pus_glot500_arab.csv
pus_wikipedia_2021_20260405082429.csv,pus,33.8% hapax overlap with pus_glot500_arab.csv
que_community_2017_20260405083523.csv,que,85.1% hapax overlap with que_wikipedia_2014_20260405083529.csv
que_wikipedia_2021_20260405083535.csv,que,46.2% hapax overlap with que_wikipedia_2014_20260405083529.csv
rom_wikipedia_2021_20260405083915.csv,rom,49.1% hapax overlap with rom_wikipedia_2012_20260405083910.csv
