used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
hak,Hakka Chinese,Hakka,,hak,,,hak,hak,Latin,98.24,Han,1.66,9916,38241,Sino-Tibetan,Chinese,Eurasia,25.0,116.0,China,wikipedia
hat,Haitian Creole,,,hat,,,hat,hat,Latin,99.9,,0.0,29695,407268,other,Creoles and Pidgins,North America,19.0,-72.5,Haiti,"community, wikipedia"
hau,Hausa,,,hau,,,hau,hau,Latin,94.66,,0.0,66946,1832457,Afro-Asiatic,West Chadic,Africa,12.0,7.0,Nigeria; Niger,"community, newscrawl, wikipedia"
haw,Hawaiian,,,haw,,,haw,haw,Latin,93.93,,0.0,5200,57535,Austronesian,Oceanic,Papunesia,19.5833333333,-155.5,United States,wikipedia
hbs,Serbo-Croatian,Serbian-Croatian,,hbs,,,hbs,hbs,Latin,74.49,Cyrillic,25.28,1299491,57278581,Indo-European,Slavic,Eurasia,44.0,19.0,Serbia and Montenegro; Bosnia-Herzegovina; Croatia,"newscrawl, wikipedia"
heb,Hebrew,Hebrew (Modern Ashkenazic),,heb,,,heb,heb,Hebrew,94.57,Latin,5.19,3610715,313418593,Afro-Asiatic,Semitic,Eurasia,31.75,35.1666666667,Israel,"bible, news, web, wikipedia"
hif,Fiji Hindi,,,hif,,,,hif,Latin,99.72,,0.0,23645,180557,,,,,,,wikipedia
hin,Hindi,,,hin,,,hin,hin,Devanagari,92.49,Latin,7.44,2542295,401847054,Indo-European,Indic,Eurasia,25.0,77.0,India,"bible, news, web, wikipedia"
hrv,Croatian (Croatia),,Croatian,hrv,Croatian,,,hrv,Latin,99.88,,0.0,6042547,906778351,,,,,,,"bible, news, web, wikipedia"
hsb,Upper Sorbian,Sorbian (Upper),,hsb,,,hsb,hsb,Latin,99.78,,0.0,394996,7656876,Indo-European,Slavic,Eurasia,51.8333333333,14.5,Germany,"mixed, news, wikipedia"
hun,Hungarian,,,hun,,,hun,hun,Latin,99.96,,0.0,14419929,1017476472,Uralic,Ugric,Eurasia,47.0,20.0,Hungary,"bible, news, newscrawl, web, wikipedia"
hye,Armenian,Armenian (Eastern),,hye,,,hye,hye,Armenian,97.07,Latin,2.65,1693838,47001589,Indo-European,Armenian,Eurasia,40.0,45.0,Armenia,"bible, community, news, newscrawl, wikipedia"
ibo,Igbo,,,ibo,,,ibo,ibo,Latin,99.9,,0.0,27468,360541,Niger-Congo,Igboid,Africa,6.0,7.33333333333,Nigeria,"community, wikipedia"
ido,Ido,,,ido,,,,ido,Latin,99.18,,0.0,76188,2462919,,,,,,,wikipedia
ile,Occidental,,,ile,,,,ile,Latin,99.78,,0.0,20838,171658,,,,,,,wikipedia
ilo,Iloko,Ilocano,,ilo,,,ilo,ilo,Latin,99.81,,0.0,89602,930665,Austronesian,Northern Luzon,Papunesia,16.0,121.0,Philippines,"community, web, wikipedia"
ina,Interlingua,,,ina,,,,ina,Latin,99.67,,0.0,46432,547423,,,,,,,wikipedia
ind,Indonesian,,,ind,,,ind,ind,Latin,99.76,,0.0,7824806,1882874475,Austronesian,Malayo-Sumbawan,Papunesia,0.0,106.0,Indonesia,"bible, mixed, news, newscrawl, web-public, wikipedia"
inh,Ingush,,,inh,,,inh,inh,Cyrillic,96.11,Latin,3.67,6834,18641,Nakh-Daghestanian,Nakh,Eurasia,43.1666666667,45.0833333333,Russia,wikipedia
