lang,script,script_type,segmentor,language_name,family,genus,typology,dominant_script_pct,original_token_count,original_type_count,current_token_count,current_type_count,last_type_frequency,type_token_ratio,corpus_zipf_slope,compress_ratio,compress_reduction_pct,token_frequency_entropy,token_frequency_perplexity,avg_type_length,avg_token_length,hapax_type_ratio,single_token_type_ratio,word_count,word_total_frequency,word_ttr,word_entropy,word_perplexity,word_zipf_slope,morph_zipf_slope,word_hapax_ratio,morph_hapax_ratio,word_avg_length,word_avg_length_weighted,morph_count,morph_total_frequency,morph_ttr,morph_entropy,morph_perplexity,morph_type_entropy,morph_type_perplexity,morph_avg_length,morph_avg_length_weighted,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy,root_count,affix_count,prefix_count,suffix_count
div,Thaa,abjad,,Dhivehi,Indo-European,Indic,Fusional,98.85,42092388,1634332,39566852.0,187780,8,0.1997649411955491,-1.3003230314155385,0.629661,37.03,13.244284313938683,9703.465131396675,10.531419746511876,7.721961681460026,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekk,Latn,alphabet,,Standard Estonian,Uralic,Finnic,Agglutinative,99.31,19137427,1345951,17989183.0,319255,3,0.339627372341207,-1.1658845175691408,0.773689,22.63,13.61117834376658,12513.33172672154,9.868594070570548,6.564535309913741,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ell,Grek,alphabet,GreekAnnotatedDictionary,Greek (Modern),Indo-European,Greek,Fusional,88.01,703548410,6135736,661335985.0,57473,522,0.0611414484489628,-1.209069975725822,0.740507,25.95,10.985362016539115,2027.3254868086813,8.247263932629235,5.163357549642487,1.0,0.0,57472.0,967041.8939999962,0.0594307241046996,11.14361936990683,2262.370298914241,-1.2083834642175797,-1.3600492811298734,1.0,0.8022443465348945,8.247355233853007,5.23708786808777,41081.0,1567046.482000025,0.0262155593161271,9.23622048561927,603.0862302865917,11.952822450413915,3964.223123143478,7.168715464569996,3.231862621928224,1.7905240812917596,1.0091870824053453,0.7813369988864143,0.043951837416481,0.7373503619153675,0.6483191815144639,0.1443037974683544,1.6204535622734717,1.0035420999041025,0.6169114623693813,0.0200047020920482,0.5969025557025115,0.7131534012941181,0.219697921272674,10.596643386791294,4.842937406151449,3.618979681959811,4.6806589875463125,15.022232065115798,5.7670376237658,4.064524960235127,5.56123778621825,40940.0,321.0,71.0,278.0
eng,Latn,alphabet,MorphoLex,English,Indo-European,Germanic,Isolating,96.58,21496075402,39672118,20206328177.0,25844,33409,0.0274935930375037,-1.2882131283175369,0.761048,23.9,10.566117121601852,1516.0662902201884,7.129933446834856,4.719709601794616,1.0,0.0,25843.0,939329.025000006,0.0275121914815736,10.897154943092264,1907.086998044508,-1.2867613243252078,-1.582257789053262,1.0,0.6779273029966704,7.130093255427002,4.830785155393203,14416.0,1262777.406999987,0.0114161054197576,9.664467422472732,811.5113274389498,11.06749316046432,2146.087465986108,5.69804384017758,3.593425638474419,1.7542854931702976,1.0471307510737915,0.7071547420965059,0.1071856982548465,0.598266455132918,0.7098672754711258,0.1915584415584415,1.3443398142626293,1.016336261939739,0.3280035523228915,0.0442460457346133,0.2832629684790155,0.8580379876121291,0.1491588753910641,10.208817260266834,5.159761629675745,4.8917207400484966,4.6042323963987455,13.28387238010026,5.519215633315186,5.398449139094243,4.903010791847712,14289.0,349.0,143.0,285.0
epo,Latn,alphabet,,Esperanto,other,Constructed,Agglutinative,99.7,188846076,5119050,177515321.0,131137,45,0.1395074977139355,-1.2808048917988013,0.768702,23.13,11.079945873803132,2164.6917318957167,7.980516559018431,4.875606449766665,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
est,Latn,alphabet,,Estonian,Uralic,Finnic,Agglutinative,99.94,246690467,5623162,231889068.0,194551,46,0.2069684692429422,-1.2854549457087632,0.75772,24.23,12.81352443713349,7198.718741757522,9.586936073317537,6.096997310800353,0.9999897199191986,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eus,Latn,alphabet,,Basque,Basque,Basque,Agglutinative,99.92,186936484,5184337,175720321.0,160759,39,0.1710202562487001,-1.3283440135394813,0.743494,25.65,12.735753146333034,6820.931913346156,9.077892995104474,6.491208151161982,0.9999688975422838,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fao,Latn,alphabet,,Faroese,Indo-European,Germanic,Fusional,99.96,55085340,1402912,51780246.0,66027,30,0.0702413565756473,-1.2577517260009226,0.73862,26.14,10.88080962587786,1885.6021925106404,8.599512320717283,4.860132298328594,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fas,Arab,abjad,PerSegLex,Persian,Indo-European,Iranian,Isolating,96.57,1268906100,8870040,1192772999.0,35968,1311,0.0382637861909417,-1.3272540867516174,0.826616,17.34,11.026210319813664,2085.547303436231,5.7171652580071175,3.884357576742899,1.0,0.0,35967.0,956275.8079999976,0.0376115339310142,11.259404779172687,2451.424780248389,-1.326211296029975,-1.5567004655373349,1.0,0.7677739070703106,5.717296410598604,4.016240545740136,20381.0,1289698.1540000276,0.0158029225185659,9.741639233355716,856.1022060734248,11.271929079860696,2472.7986903045603,4.767675776458466,2.977930895758976,1.7459337726249062,1.0588317068423834,0.6871020657825229,0.1448272027135985,0.5336836544610337,0.7338194270673689,0.0738226559185405,1.3486675530329768,1.0143518699157543,0.3343156831172285,0.0675259182129182,0.2648101320576344,0.8571637796432368,0.0450181062653974,10.38923233542508,5.179309755030899,5.265659100696918,4.446027146448379,13.537733469760768,5.567730261356146,5.538556873872185,4.834397035355531,20316.0,293.0,171.0,232.0
fil,Latn,alphabet,,Filipino,Austronesian,Greater Central Philippine,Agglutinative,99.23,685641556,10365451,644503319.0,46202,506,0.0491510420778372,-1.2832614059653993,0.784886,21.51,10.564038743944003,1513.8837848144226,7.374096359464958,4.77212186086508,0.9999567118306568,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
