file,lang,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_zipf_slope,morph_zipf_slope,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_entropy,morph_entropy,word_perplexity,morph_perplexity,word_type_entropy,morph_type_entropy,word_type_perplexity,morph_type_perplexity,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_count,affix_count,prefix_count,suffix_count,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy
lat_WFL-lat_Latn,lat,215616,70535,962577.3690010535,1670976.843999139,0.22399861761113565,0.04221183570155826,-1.2414948075952283,-1.6390746341985551,215616,46394,1.0,0.6577443822215921,0,0,0.0,0.0,8.426271705253784,6.464506982349189,5.897369332390555,3.397205535424501,13.281550065486512,9.899673872299873,9957.377187958864,955.2098294495144,17.718104713149497,11.377288799214785,215616.0000041458,2660.144313745776,2.1417937444345503,1.4333722914811518,0.7084214529533986,0.06419282428020184,0.5578203843870585,0.7082121302067814,0.028113356667043017,1.7359402971785831,1.338107349580879,0.39783294759711213,0.025614712950907576,0.33802462480253664,0.824716856846257,0.02050477331260441,10.086468139480473,6.29709577130285,4.512723878564263,5.972128435223986,70330,858,223,728,12.325213089866285,6.8415617539257205,4.3642962877846925,6.614441340754946
mal_kcis-mal_Mlym,mal,1820186,757718,987665.1469918824,2355479.828918088,1.8429181241676034,0.3216830773490566,-1.285695395267862,-1.5108246990998861,1820186,567037,1.0,0.7483483301175371,422,-226,0.00023184443787612914,-0.00029826399795174457,12.801189548760401,9.664891160035792,8.627487949688716,3.6175481756998424,15.701487512476126,10.699089661413046,53286.686774826565,1662.4435770981654,20.795654452283443,12.768180317184168,1820185.9997557425,6975.980621734005,2.6282748026850005,2.184661897190727,0.4436129054942737,0.07830078904024095,0.28171571476761165,0.8443643776246426,0.0459499109294771,2.3848971852135628,2.094785618681527,0.2901115665296086,0.04387583193768632,0.20405182223180818,0.8866675965101065,0.032015965881941326,10.459875567598832,8.88689887754422,8.165000676184771,8.096645078881545,755993,7422,2517,4913,12.644487698569817,9.908724236766057,9.027998512395955,9.215930409972296
mar_kcis-mar_Deva,mar,153311,53002,975331.0410001139,2083310.656000038,0.1571886811300432,0.02544123693091648,-1.3404593670145581,-1.7176147481863056,153311,36127,1.0,0.6816157880834686,0,0,0.0,0.0,7.925295640886825,5.953567789894721,5.6728182241862575,2.655808965919243,13.158531954524445,9.216239693453772,9143.507326432353,594.7912828512204,17.22610168788287,10.74920137457821,153310.99999693068,1721.202797116699,2.358467428951608,1.5308294903822948,0.8276379385693133,0.04270404602409481,0.7529466248344867,0.6759734570036602,0.004633529907329402,2.136003642274911,1.4794879823782014,0.656515659896865,0.0943046228752048,0.5333705881714069,0.7225999520744398,-0.05187511066180041,9.367985301921005,6.680060156587453,5.217769765704281,6.5332287969983645,52412,1677,498,1371,11.49880026632925,6.92945535653604,6.887515452287983,6.780098317880303
mon_Morphynet-mon_Cyrl,mon,69693,46090,980052.9860000209,1498629.4329994034,0.07111146131439726,0.030754767646431477,-1.3611446612620446,-1.5133767156865412,69693,36658,1.0,0.79535691039271,0,0,0.0,0.0,7.739844747679107,6.890800607507051,5.929269146678439,3.8775396766161823,12.639313624749962,10.332296991286698,6379.880228551674,1289.2327180899974,16.08872613787742,12.395138066042554,69692.99999872856,5386.521011670028,1.6118548491240152,1.0151952132925832,0.5966596358314321,0.014262551475757968,0.5822249006356449,0.7068189536012753,0.012145748987854251,1.5291310310847446,1.0104479259246923,0.5186831051602055,0.026160188649228276,0.4924973536073821,0.7427950378523837,0.04703018932084125,11.763105016142324,5.079231386315963,4.550489453579737,4.935534931475762,46032,299,120,277,15.082999999512658,5.361391414837004,6.100493153804397,5.2285936634392725
nld_CELEX-nld_Latn,nld,47785,24097,937040.1789999979,1298157.3060000252,0.05099567880962776,0.01856246534116069,-1.2742229243732797,-1.578159376433514,47785,17188,1.0,0.7132838112628128,18,7,0.0003766872449513446,0.0002904925924388928,8.448320602699592,5.874880690542391,5.004289632493988,3.612212118921672,10.594767579105023,9.332997953705696,1546.4747675419098,644.9296349751073,15.544270198129135,11.338040283189835,47784.999999756896,2588.7506281818137,2.0033483310662343,1.2389662027833002,0.764382128282934,0.3104739981165638,0.39543789892225595,0.7095460486869907,0.0320208507865587,1.3853806219765028,1.105762801020729,0.27961782095578486,0.11970915817047399,0.14720810066779402,0.884821432467836,0.0443904126592297,9.391133501568996,6.606823479968853,5.604342182750558,6.140194396521676,23805,1204,629,938,12.548865280571107,7.252362823410421,6.650878877553981,6.700451087810954
nso_Sadilar-nso_Latn,nso,11676,6799,939441.9839999859,1528516.8119999967,0.012428654668259084,0.004448102858027324,-1.2341161680909054,-1.4895826520616773,11676,4898,1.0,0.7204000588321812,0,0,0.0,0.0,7.307553956834532,5.95602294455067,4.218423138942936,2.5926857800239937,9.0914801774893,7.296523061689172,545.5169363306105,157.20715403694518,13.51125849550397,8.902484041589002,11676.000000013777,478.5361293170095,2.2162555669749913,1.026121959575197,1.1901336073997943,0.3695614936622131,0.8168036998972251,0.586621213233479,0.35121107266435986,1.6270475857293767,1.0078234996148532,0.6192240861145091,0.2072414574990913,0.4113755214074023,0.7486152970674184,0.2678861412290767,8.385109448432473,3.8801391252902016,3.5439837186995904,2.885553893056448,6781,94,49,73,12.149937469006918,4.35741406121568,3.5127962339688095,3.5304699061064277
pol_Morphynet-pol_Latn,pol,118786,95746,959100.418999987,1203463.3239999262,0.12385147336694222,0.07955871865024602,-1.2253909212991874,-1.3148785511444794,118786,85445,1.0,0.8924132600839721,46,34,0.00038725102284781036,0.0003551062185365446,8.487220716246023,8.170503206400268,5.947004715050674,4.739458614361853,12.847079793086998,11.687914186675178,7368.114640132538,3299.231247853829,16.85800528599261,14.616363279842556,118786.00000022308,25116.76919502443,1.3426329702153452,1.013781085313084,0.3288518849022612,0.10589631774788275,0.22277036014345125,0.8450748965927336,0.017126546146527116,1.2547834409818868,1.0070804921627283,0.2477029488191771,0.08995537828036539,0.15771511304073813,0.8829579442608909,0.0028801928532377263,12.438327139392966,5.918711903678478,4.720382466633453,5.2883209453738935,95526,581,194,435,16.252984049362286,6.394933083826872,5.0129291125404345,5.842984905109025
por_Morphynet-por_Latn,por,23004,21589,944357.9250000037,1016381.3400000015,0.02435940800729756,0.021241043248590108,-1.2029000541397452,-1.2463514696526043,23004,20269,1.0,0.938857751632776,0,0,0.0,0.0,7.74847852547383,7.402288202325258,4.978522056666153,4.625731085342429,10.637477070574466,10.474488606642172,1592.940948313261,1422.771836560266,14.489597122381515,13.859655602975517,23003.999999875752,14865.24481819215,1.1338462876021562,1.0086941401495393,0.12515214745261694,0.0705529473135107,0.05455572943835855,0.938224511679128,0.038461538461538464,1.0762670732074378,1.0028505833738823,0.07341648983355499,0.03777558175307307,0.035630079559082296,0.9635252204118885,0.02397874509745552,10.553749340464352,5.095064409670626,4.2990918426152405,4.201037058323087,21476,226,86,164,14.32814371302526,5.751768016416644,4.738925570345268,5.148606211435604
rus_KuznetsEfremDict-rus_Cyrl,rus,133556,26627,957397.1569999779,2582900.9250001283,0.1394990563983919,0.010308951358635127,-1.2394042067129003,-1.8493925762110799,133556,15752,1.0,0.5915799752131295,42,4,0.00031447482703884515,0.0001502234573928719,8.714659019437539,5.433244451121043,6.160270728692101,2.2834068453476233,13.07337215970529,8.48958385918869,8619.402562064379,359.43419558040813,17.027085264892563,9.312926693433072,133555.99999886667,636.019281888043,3.516779478271287,1.9476998412650872,1.5690796370061997,0.3949354577854982,0.8222468477642337,0.6029831661104297,0.35425920784749215,2.69783642672759,1.6976331255180974,1.0002033012095273,0.2683514872814751,0.5099080798711957,0.7174045346605176,0.254899787942314,8.30214351239034,6.673554560174466,5.264583025586332,6.0520210228601,26243,1378,527,984,9.468706793736866,7.094974651642954,5.562411714808887,6.532603377681568
rus_Tikhonov-rus_Cyrl,rus,133556,34552,957397.1569999779,2174829.930000018,0.1394990563983919,0.015887219282474982,-1.2394042067129003,-1.765831184777903,133556,21839,1.0,0.6320618198657096,42,11,0.00031447482703884515,0.0003183607316508451,8.714659019437539,6.011634637647604,6.160270728692101,2.7118505091568017,13.07337215970529,8.960018001817701,8619.402562064379,498.0055471043113,17.027085264892563,9.945385851281817,133555.99999886667,985.9603712813976,2.9384977088262603,1.6469046692024318,1.2915930396238282,0.2590074575458983,0.8164440384557788,0.6282407159804819,0.5067437879338071,2.2716068395427698,1.5302235454622601,0.7413832940805275,0.14857931941822505,0.47372894172904906,0.7561925585592021,0.38073101604897214,8.912660309597596,6.648603405324696,5.100408334627472,5.934833601363204,34340,742,318,502,10.598414614261703,6.996164748902492,5.397040618395199,6.376243078615381
