language,lang,script,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_zipf_slope,morph_zipf_slope,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted
lat_Latn,lat,Latn,215617,215617,39336866.0,39336866.0,0.2293787557619893,0.2293787557619893,-1.241713830673427,-1.241713830673427,215617,215617,1.0,1.0,0,0,0.0,0.0,8.426241901148796,8.426241901148796,5.751539535457654,5.751539535457654,13.014917402153964,13.014917402153964,8277.144349144011,8277.144349144011,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lav_Latn,lav,Latn,57427,57427,9616447.0,9616447.0,0.06109285872080713,0.06109285872080713,-1.2071015328611574,-1.2071015328611574,57427,57427,1.0,1.0,0,0,0.0,0.0,8.286050115799188,8.286050115799188,6.091729928943611,6.091729928943611,12.332633334026314,12.332633334026314,5158.133273706134,5158.133273706134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lim_Latn,lim,Latn,132792,132792,14906579.0,14906579.0,0.14126922112136348,0.14126922112136348,-1.1874869691944387,-1.1874869691944387,132792,132792,1.0,1.0,0,0,0.0,0.0,8.034173745406349,8.034173745406349,4.759472646272495,4.759472646272495,11.65142696562887,11.65142696562887,3216.8366561039065,3216.8366561039065,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lit_Latn,lit,Latn,151592,151592,307873215.0,307873215.0,0.16126812285002112,0.16126812285002112,-1.2812050757308429,-1.2812050757308429,151592,151592,1.0,1.0,0,0,0.0,0.0,8.536037521768959,8.536037521768959,6.259676172219139,6.259676172219139,13.150129043474202,13.150129043474202,9090.406180381382,9090.406180381382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lmo_Latn,lmo,Latn,94664,94664,10282232.0,10282232.0,0.10070606114780248,0.10070606114780248,-1.1294258186565533,-1.1294258186565533,94664,94664,1.0,1.0,0,0,0.0,0.0,7.1202780360010145,7.1202780360010145,4.3034415095866345,4.3034415095866345,10.663266692135043,10.663266692135043,1621.672402933743,1621.672402933743,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ltz_Latn,ltz,Latn,908761,908761,237721917.0,237721917.0,0.9667679314796109,0.9667679314796109,-1.2836682752879107,-1.2836682752879107,908581,908581,0.9998019281197147,0.9998019281197147,0,0,0.0,0.0,13.680810466118155,13.680810466118155,6.257516243233055,6.257516243233055,13.795303670777296,13.795303670777296,14216.745997534734,14216.745997534734,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lug_Latn,lug,Latn,184979,184979,9483047.0,9483047.0,0.19679104790919366,0.19679104790919366,-1.1914997193623562,-1.1914997193623562,184979,184979,1.0,1.0,0,0,0.0,0.0,9.388065672319561,9.388065672319561,6.1691310820245855,6.1691310820245855,12.610719281319664,12.610719281319664,6254.675322502266,6254.675322502266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lus_Latn,lus,Latn,11747,11747,6148404.0,6148404.0,0.012496774662990973,0.012496774662990973,-1.2743101572919557,-1.2743101572919557,11747,11747,1.0,1.0,0,0,0.0,0.0,6.403081637864987,6.403081637864987,4.119725541782875,4.119725541782875,9.652397790954398,9.652397790954398,804.7505184717559,804.7505184717559,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lvs_Latn,lvs,Latn,100203,100203,8880885.0,8880885.0,0.10659881085991552,0.10659881085991552,-1.1981808758437866,-1.1981808758437866,100203,100203,1.0,1.0,0,0,0.0,0.0,8.213965649731046,8.213965649731046,6.079088739466844,6.079088739466844,12.75639156326615,12.75639156326615,6919.209764411707,6919.209764411707,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mal_Mlym,mal,Mlym,1820175,1820175,158925439.0,158925439.0,1.936165225785132,1.936165225785132,-1.2847362862120886,-1.2847362862120886,1820163,1820163,0.999993407227327,0.999993407227327,0,0,0.0,0.0,12.801213070171825,12.801213070171825,8.558845654659478,8.558845654659478,15.605119188436387,15.605119188436387,49843.5494473578,49843.5494473578,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
