iso_code,name,family,genus,macroarea,lat,lon,countries,typology
wnc,Wantoat,Trans-New Guinea,Finisterre,Papunesia,-6.16666666667,146.5,Papua New Guinea,
wnd,Warndarang,Mangarrayi-Maran,Mara,Australia,-14.4166666667,135.583333333,Australia,
wnu,Usan,Trans-New Guinea,North Adelbert,Papunesia,-4.83333333333,145.166666667,Papua New Guinea,
wnw,Wintu,Penutian,Wintuan,North America,41.0,-122.5,United States,
woa,Tyeraity,Northern Daly,Northern Daly,Australia,-13.0,130.333333333,Australia,
wob,Wobe,Niger-Congo,Kru,Africa,7.41666666667,-7.33333333333,Côte d'Ivoire,
woe,Woleaian,Austronesian,Oceanic,Papunesia,7.33333333333,143.833333333,Micronesia,
wog,Wogamusin,Sepik,Wogamusin-Chenapian,Papunesia,-4.25,142.333333333,Papua New Guinea,
woi,Woisika,Greater West Bomberai,Alor-Pantar,Papunesia,-8.25,124.833333333,Indonesia,
wol,Wolof,Niger-Congo,Wolof,Africa,15.25,-16.0,Gambia; Senegal,
wos,Hanga Hundi,Sepik,Ndu,Papunesia,-3.83333333333,142.916666667,Papua New Guinea,
wrb,Warluwara,Pama-Nyungan,Western Pama-Nyungan,Australia,-22.0,138.5,Australia,
wrg,Warrongo,Pama-Nyungan,Northern Pama-Nyungan,Australia,-18.0,145.0,Australia,
wrk,Garrwa,Garrwan,Garrwan,Australia,-17.0833333333,137.166666667,Australia,
wrm,Warumungu,Pama-Nyungan,Western Pama-Nyungan,Australia,-19.5,134.5,Australia,
wro,Worora,Worrorran,Worrorran,Australia,-15.6666666667,124.666666667,Australia,
wrp,Waropen,Austronesian,South Halmahera - West New Guinea,Papunesia,-2.33333333333,136.583333333,Indonesia,
wrr,Wardaman,Yangmanic,Yangmanic,Australia,-15.5,131.0,Australia,
wrs,Waris,Border,Border,Papunesia,-3.16666666667,141.0,Indonesia; Papua New Guinea,
wrz,Waray (in Australia),Gunwinyguan,Western Gunwinyguan,Australia,-13.1666666667,131.25,Australia,
wsa,Warembori,Austronesian,South Halmahera - West New Guinea,Papunesia,-1.66666666667,137.583333333,Indonesia,
wsk,Waskia,Trans-New Guinea,Kowan,Papunesia,-4.5,146.0,Papua New Guinea,
wth,Wathawurrung,Pama-Nyungan,Southeastern Pama-Nyungan,Australia,-38.0,144.0,Australia,
wti,Berta,Berta,Berta,Africa,10.3333333333,34.6666666667,Ethiopia; Sudan,
wuu,Wu,Sino-Tibetan,Chinese,Eurasia,31.6666666667,119.916666667,China,Isolating
wwa,Waama,Niger-Congo,Oti-Volta,Africa,10.5833333333,1.66666666667,Benin,
wwr,Warrwa,Nyulnyulan,Nyulnyulan,Australia,-17.5,123.5,Australia,
wya,Wyandot,Iroquoian,Northern Iroquoian,North America,44.3333333333,-77.5,Canada,
wyb,Ngiyambaa,Pama-Nyungan,Southeastern Pama-Nyungan,Australia,-31.75,145.5,Australia,
wyi,Woiwurrung,Pama-Nyungan,Southeastern Pama-Nyungan,Australia,-37.5,145.5,Australia,
wyy,Nadroga,Austronesian,Oceanic,Papunesia,-18.0833333333,177.416666667,Fiji,
xac,Kachari,Sino-Tibetan,Brahmaputran,Eurasia,26.5,91.0,India,
xak,Máku,Máku,Máku,South America,0.416666666667,-69.8333333333,Brazil,
xal,Kalmyk,Altaic,Mongolic,Eurasia,44.0,83.0,China; Russia; Mongolia,
xam,/Xam,Tu,Tu,Africa,-31.0,21.0,South Africa,
xas,Kamass,Uralic,Samoyedic,Eurasia,52.0,92.0,Russia,
xav,Xavánte,Macro-Ge,Je Central,South America,-15.0,-52.5,Brazil,
xaw,Kawaiisu,Uto-Aztecan,Northern Uto-Aztecan,North America,36.0,-117.5,United States,
xbi,Kombio,Torricelli,Kombio-Arapesh,Papunesia,-3.5,142.75,Papua New Guinea,
xbr,Kambera,Austronesian,Central Malayo-Polynesian,Papunesia,-9.83333333333,120.166666667,Indonesia,
xch,Chemakum,Chimakuan,Chimakuan,North America,48.0833333333,-122.916666667,United States,
xcm,Comecrudo,Hokan,Comecrudan,North America,25.8333333333,-99.0,Mexico,
xcw,Coahuilteco,Coahuiltecan,Coahuiltecan,North America,28.0,-100.0,Mexico,
xdy,Ketapang,Austronesian,Malayo-Sumbawan,Eurasia,-2.75,111.1666667,Indonesia,
xed,Hdi,Afro-Asiatic,Biu-Mandara,Africa,11.8666666667,13.7166666667,Nigeria; Cameroon,
xer,Xerénte,Macro-Ge,Je Central,South America,-10.0,-48.1666666667,Brazil,
