used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
eng,English,,,eng,,,eng,eng,Latin,96.58,,0.0,39672118,21496075402,Indo-European,Germanic,Eurasia,52.0,0.0,Ireland; United Kingdom,"bible, glot500, news, news-economy, newscrawl-public, private-dikusa-hait, web, web-public, wikipedia"
enm,,,,,,,,enm,Latin,100.0,,0.0,316,614,,,,,,,glot500
epo,Esperanto,,,epo,,,,epo,Latin,99.7,,0.0,5119050,188846076,,,,,,,"bible, glot500, mixed, wikipedia"
est,Estonian,,,est,,,,est,Latin,99.94,,0.0,5623162,246690467,,,,,,,"bible, glot500, news"
eus,Basque,Basque (Bidasoa Valley),,eus,,,eus,eus,Latin,99.92,,0.0,5184337,186936484,Basque,Basque,Eurasia,43.0,-3.83333333333,Spain,"bible, glot500, news, web, wikipedia"
ewe,Ewe,Ewe (Anlo),,ewe,,,ewe,ewe,Latin,99.78,,0.0,57702,908673,Niger-Congo,Gbe,Africa,6.0,1.0,Ghana,"bible, community, glot500, wikipedia"
ext,Extremaduran,,,ext,,,,ext,Latin,98.59,Greek,1.07,96720,981630,,,,,,,"glot500, wikipedia"
fao,Faroese,,,fao,,,fao,fao,Latin,99.96,,0.0,1402912,55085340,Indo-European,Germanic,Eurasia,62.0,-7.0,Denmark,"glot500, news, newscrawl, wikipedia"
fas,Persian,,,fas,,,,fas,Arabic,96.57,Latin,2.81,8870040,1268906100,,,,,,,"glot500, news, newscrawl, web-public"
fij,Fijian,,,fij,,,fij,fij,Latin,99.91,,0.0,16781,417997,Austronesian,Oceanic,Papunesia,-17.8333333333,178.0,Fiji,"glot500, newscrawl, wikipedia"
fil,,,,,,,,fil,Latin,99.23,,0.0,10365451,685641556,,,,,,,glot500
fin,Finnish,,,fin,,,fin,fin,Latin,99.96,,0.0,17758132,660781477,Uralic,Finnic,Eurasia,62.0,25.0,Finland,"bible, glot500, news, web, wikipedia"
fon,Fongbe,,,,,,fon,fon,Latin,99.05,Greek,0.88,19711,602695,Niger-Congo,Gbe,Africa,6.41666666667,2.16666666667,Benin,glot500
fra,French,,,fra,,,fra,fra,Latin,99.87,,0.0,10158965,2207291174,Indo-European,Romance,Eurasia,48.0,2.0,Switzerland; France,"bible, glot500, mixed, news, newscrawl-public, web, wikipedia"
frp,Francoprovençal,,,frp,,,,frp,Latin,99.87,,0.0,11807,49319,,,,,,,wikipedia
