language,original_distinct_words,original_total_frequency,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted,cutoff_word_pct
Ewe,14619.0,189143.0,6321,3612,179686,349528,0.0351780327905346,0.010333936050902931,6321,2439,1.0,0.675249169435216,0,0,0.0,0.0,6.145546590729315,4.177740863787376,3.7220150707345034,1.9134203840607906,9.179011215870014,7.116261758391033,579.6391441219985,138.74209443459182,1.00015820281601,0.0006328112640404999,2.06343932922006,0.0,1.0000111305276984,7.791369388822724e-05,0.9451264984472914,0.0,43.23825159039606
Extremaduran,40704.0,387401.0,24385,11857,368032,869362,0.06625782540648639,0.013638737372924052,24385,7537,1.0,0.6356582609429029,0,0,0.0,0.0,7.696493746155423,4.854769334570296,4.7298115381271195,2.00229823709801,10.532527734055892,7.120723831902706,1481.1763809595077,139.171870484871,1.0002870617182695,0.0004921058027475907,2.562681976624974,0.0,1.00018748369707,0.0005189766107295018,1.361484870880793,0.0,59.90811713836478
Faroese,101474.0,1259749.0,40603,19066,1196762,2440256,0.03392738071563101,0.007813114689606337,40603,11808,1.0,0.619322353928459,0,0,0.0,0.0,8.607787601901338,5.629287737333473,4.962857276551228,2.433908163733641,10.671083014054103,8.119546727873477,1630.4822431092948,278.11673116900107,1.000246287220156,0.0007881191044996675,2.697189862818018,0.0,1.0002063902430056,0.0006317045494425792,1.038224809945503,0.0,40.01320535309538
Persian,5314819.0,942728613.0,40698,16772,895592284,1817805427,4.5442553187517186e-05,9.22651002735729e-06,40698,10323,1.0,0.6154901025518722,0,0,0.0,0.0,5.859575409111013,4.470486525160982,3.9429160859094674,1.942587017592835,11.05037272354686,7.7709225191360325,2120.7703991155813,218.41415072942252,1.0051353874883286,0.01901813356921716,1.9019116418497224,4.9142464003145115e-05,1.0017660111953355,0.011673550773914439,1.0162820886920458,2.655226091697771e-06,0.7657457384719969
Fijian,5620.0,54752.0,2883,1778,52015,123824,0.055426319330962225,0.014359090321746995,2883,1227,1.0,0.6901012373453318,430,214,0.14915019077349984,0.1203599550056243,6.928199791883455,3.934195725534308,3.9847159473228877,1.6738677477710298,7.812185444076939,5.708538746722073,224.75126786814087,52.2927395034234,1.0,0.000346860908775581,2.500867152271939,0.0,1.0,3.8450446986446215e-05,1.3805056233778719,0.0,51.29893238434163
Finnish,12761887.0,454757602.0,1060127,225137,432019731,1239626580,0.002453885607368243,0.00018161678979164837,1060106,115368,0.9999801910525814,0.5124346509014511,0,0,0.0,0.0,11.776121162841811,7.448073839484403,7.3204474103058965,2.5512341958656615,14.164470801050795,8.42921310513156,18362.448206620007,344.70373127293493,1.0011535983685498,0.0026599733436713856,4.311108407119296,9.432529587487183e-07,1.0026552676132285,0.005880187449123707,1.8608401730614474,1.411972547152019e-07,8.306976860083466
French,5808282.0,1648158295.0,39776,22262,1565751776,3562327926,2.540377128079336e-05,6.249284305781792e-06,39773,15541,0.9999245776347546,0.6980954092175007,0,0,0.0,0.0,8.025945293644408,5.961593747192525,4.87385882166804,2.1422096068984975,10.478941495008836,7.539022100933144,1427.1700158309511,185.98237542442442,1.0031675004399305,0.0028155559466049927,1.9228990170693079,0.0,1.001955935830278,0.010767371468719956,1.262433203205257,0.0,0.6848152345220152
Francoprovençal,11807.0,49319.0,9342,5998,46854,101678,0.19938532462543218,0.05899014536084502,9342,4191,1.0,0.6987329109703234,5892,2968,0.6307000642260758,0.4948316105368456,7.430207664311711,4.578526175391797,4.585222179536433,2.1129054466059523,9.718475978961697,7.59383019740808,842.4667740814971,193.18378525106047,1.0007493042175124,0.0005352172982230786,2.3310854206807963,0.0,1.0001920860545523,0.0008964015879113843,1.1691210995859478,0.0,79.12255441687135
Northern Frisian,32767.0,287918.0,18372,12358,273523,553106,0.0671680260892137,0.022342914378075812,18372,9053,1.0,0.7325619032205859,2514,1666,0.13683866753755716,0.13481145816475157,7.9297844546048335,5.186923450396504,4.4203302830109354,2.185949890256117,10.275064255707733,7.825451849685501,1239.0891335044982,226.82751576664072,1.0004898758981058,0.0015240583496625298,2.437949052906597,0.0,1.0004387199613927,0.0020985438153281444,1.0196180942736077,0.0,56.06860560930205
Western Frisian,265466.0,6179130.0,52603,26353,5870176,12368573,0.008961060111315231,0.0021306419099438555,52603,17916,1.0,0.6798466967707661,0,0,0.0,0.0,8.232287131912628,5.652601221872272,4.4821579455198615,2.1272507345835288,10.15309360182886,7.3107835949337145,1138.6381295650378,158.76879691262388,1.000342185806893,0.002300249035226128,2.741839819021729,0.0,1.0005681260664077,0.007516469693583293,1.0989345123553365,0.0,19.815343584489163
Fulah,2773.0,7945.0,2376,1709,7548,18500,0.314785373608903,0.09237837837837838,2376,1217,1.0,0.7121123464014043,1503,810,0.6325757575757576,0.4739613809245173,6.662037037037037,3.930368636629608,4.935479597244303,2.0136756756756755,9.482055918675552,6.991297314816095,715.1271263222313,127.23019721511157,1.0,0.00042087542087542086,2.1645622895622894,0.0,1.0,0.00013248542660307367,1.4508479067302598,0.0,85.6833754056978
Friulian,26567.0,270549.0,14072,7073,257022,548139,0.05475017702764744,0.012903661297590574,14072,4567,1.0,0.6456948960836986,0,0,0.0,0.0,7.278212052302445,4.659550402940761,4.195551353580627,1.9672911433048916,9.756031273571077,7.105947165770878,864.6852524632444,137.75369107847027,1.0002131893121091,0.00042637862421830583,2.338402501421262,0.0,1.000213989463937,0.0002217708989891916,1.1322182536903456,0.0,52.96796777957616
Gagauz,36567.0,157112.0,28712,12913,149257,400161,0.19236618718050075,0.03226951152161255,28712,8042,1.0,0.6227832416944165,11788,4000,0.41056004458066314,0.30976535274529543,8.146036500417944,5.123131727716255,6.043569145835706,2.2542051824140783,12.493040506269761,8.24857504235103,5764.742718627526,304.13647580742474,1.0003831150738367,0.0008358874338255781,2.6278559487322375,0.0,1.0001674963318303,0.0005627876749499186,1.6802897016555338,0.0,78.51888314600596
Gan Chinese,14606.0,35661.0,12823,15540,33878,116660,0.3785052246295531,0.13320761186353505,12823,12709,1.0,0.8178249678249678,9639,10117,0.7516961709428371,0.6510296010296011,15.203462528269515,7.986550836550837,9.01124623649566,2.6168609634836275,10.001791390817674,10.174268892600157,1025.2722879693438,1155.4738483845542,1.0002339546128052,0.0003119394837401544,5.5002729470482725,0.0,1.0000885530432728,0.00017710608654584095,2.4432670169431487,0.0,87.79268793646446
West Central Oromo,47999.0,300144.0,32992,11378,285137,789711,0.11570578353563375,0.01440780234794754,32992,6986,1.0,0.6139919142204254,15353,4592,0.46535523763336567,0.4035858674635261,8.471296071774976,5.487783441729654,6.04634614238068,2.1831239529397464,11.66385169581063,6.820369940942195,3244.660228265365,113.01495950383179,1.0012124151309407,0.0003334141610087294,2.7261154219204657,0.0,1.000333173176403,0.00020691807797655162,1.7693179068307516,0.0,68.73476530761057
Scottish Gaelic,21172.0,175118.0,12417,8995,166363,343326,0.07463799041854259,0.02619958872907965,12417,6731,1.0,0.7483046136742635,4008,2636,0.3227832809857453,0.29305169538632575,8.001449625513409,5.213563090605892,4.465289757938965,2.163713205524778,9.44034696589424,7.0407996063904665,694.7484814828418,131.67152786657823,1.0008858822581943,0.0009664170089393573,2.3664331158895062,0.0,1.0065218828705902,0.00018633951058829188,1.061552148013681,0.0,58.64821462308709
